relative_path,group,extension,size_bytes,size_kib
dataset/ai-xr-oculus/4128092900574651_privacy_policy.txt,ai-xr-oculus,.txt,11083,10.823
dataset/ai-xr-oculus/4143574335654608_privacy_policy.txt,ai-xr-oculus,.txt,12926,12.623
dataset/ai-xr-oculus/4188843481174389_privacy_policy.txt,ai-xr-oculus,.txt,32789,32.021
dataset/ai-xr-oculus/4189524851131699_privacy_policy.txt,ai-xr-oculus,.txt,30567,29.851
dataset/ai-xr-oculus/4193975210678121_privacy_policy.txt,ai-xr-oculus,.txt,17120,16.719
dataset/ai-xr-oculus/4209841532432878_privacy_policy.txt,ai-xr-oculus,.txt,1980,1.934
dataset/ai-xr-oculus/4212005182188732_privacy_policy.txt,ai-xr-oculus,.txt,3171,3.097
dataset/ai-xr-oculus/4214902388537196_privacy_policy.txt,ai-xr-oculus,.txt,17750,17.334
dataset/ai-xr-oculus/4215734068529064_privacy_policy.txt,ai-xr-oculus,.txt,9559,9.335
dataset/ai-xr-oculus/4245506092131005_privacy_policy.txt,ai-xr-oculus,.txt,4699,4.589
dataset/ai-xr-oculus/4262610477159316_privacy_policy.txt,ai-xr-oculus,.txt,18876,18.434
dataset/ai-xr-oculus/4272785082787822_privacy_policy.txt,ai-xr-oculus,.txt,9882,9.650
dataset/ai-xr-oculus/4277263562355260_privacy_policy.txt,ai-xr-oculus,.txt,5659,5.526
dataset/ai-xr-oculus/4281519998581593_privacy_policy.txt,ai-xr-oculus,.txt,1729,1.688
dataset/ai-xr-oculus/4310142359062337_privacy_policy.txt,ai-xr-oculus,.txt,17583,17.171
dataset/ai-xr-oculus/4331225313661764_privacy_policy.txt,ai-xr-oculus,.txt,21180,20.684
dataset/ai-xr-oculus/4341884889233002_privacy_policy.txt,ai-xr-oculus,.txt,1955,1.909
dataset/ai-xr-oculus/4360608937312293_privacy_policy.txt,ai-xr-oculus,.txt,4630,4.521
dataset/ai-xr-oculus/4382981625162620_privacy_policy.txt,ai-xr-oculus,.txt,40256,39.312
dataset/ai-xr-oculus/4395292760584049_privacy_policy.txt,ai-xr-oculus,.txt,28490,27.822
dataset/ai-xr-oculus/4457738027605720_privacy_policy.txt,ai-xr-oculus,.txt,11970,11.689
